,Unnamed: 0,Origin (UTC),Country,Lat,Long,Depth (km),Magnitude,PDE Shaking Deaths,PDE Total Deaths,Utsu Total Deaths,EM-DAT Total Deaths,Other Source Deaths,MaxDeaths
108,108,10-01-98 03:50,China ,41.137,114.523,5,5.7 Mw ,70.0,70.0,49.0,49.0,,70.0
109,109,11-02-99 14:08,Afghanistan ,34.323,69.165,25.5,6.0 Mw ,70.0,70.0,70.0,70.0,,70.0
110,110,31-03-06 01:17,Iran   ,33.5,48.78,7,6.1 Mw ,70.0,70.0,,63.0,,70.0
111,111,06-03-07 03:49,Indonesia   ,-0.48,100.47,19.3,6.4 Mw ,67.0,67.0,,67.0,,67.0
112,112,09-02-71 14:00,United States   ,34.401,-118.392,6.4,6.7 Muk ,65.0,65.0,58.0,65.0,,65.0
113,113,18-10-89 00:04,United States   ,37.11,-121.764,16,6.9 Mw ,62.0,62.0,63.0,62.0,,63.0
114,114,19-08-92 02:04,Kyrgyzstan ,42.111,73.588,17.1,7.2 Mw ,61.0,75.0,75.0,54.0,,75.0
115,115,01-01-80 16:42,Portugal   ,38.726,-27.751,12.2,6.9 Mw ,60.0,60.0,56.0,69.0,,69.0
116,116,17-01-94 12:30,United States   ,34.164,-118.563,19,6.7 Mw ,60.0,60.0,60.0,,33.0,60.0
117,117,27-02-97 21:08,Pakistan   ,29.979,68.165,34.9,7.1 Mw ,60.0,60.0,57.0,50.0,,60.0
118,118,28-03-69 01:48,Turkey ,38.535,28.467,9.3,6.4 Ms ,53.0,53.0,53.0,41.0,,53.0
119,119,05-04-91 04:19,Peru ,-5.977,-77.081,20,6.9 Mw ,53.0,53.0,53.0,,,53.0
120,120,23-11-79 23:40,Colombia ,4.793,-76.19,107.7,7.2 Mw ,52.0,52.0,52.0,60.0,,60.0
121,121,20-06-78 20:03,Greece   ,40.76,23.303,7.4,6.5 Mw ,50.0,50.0,50.0,,,50.0
122,122,12-04-02 04:00,Afghanistan ,35.988,69.296,7.8,5.8 Mw ,50.0,50.0,50.0,50.0,,50.0
123,123,19-03-76 13:03,Afghanistan ,36.587,67.758,18.2,5.6 mb ,49.0,49.0,49.0,50.0,,50.0
124,124,09-10-95 15:35,Mexico   ,19.053,-104.208,26.4,8.0 Mw ,49.0,49.0,58.0,,,58.0
125,125,23-06-01 20:33,Peru   ,-16.385,-73.505,33.7,8.4 Mw ,48.0,138.0,139.0,145.0,,145.0
126,126,19-01-75 08:02,India   ,32.373,78.474,5,6.8 Ms ,47.0,47.0,47.0,47.0,,47.0
127,127,04-05-00 04:21,Indonesia ,-1.14,123.522,26,7.5 Mw ,46.0,46.0,46.0,45.0,,46.0
128,128,03-02-02 07:11,Turkey ,38.527,31.227,5,6.5 Mw ,44.0,44.0,44.0,42.0,,44.0
129,129,03-02-08 07:34,Democratic Republic of the Congo   ,-2.296,28.9,10,5.9 Mw ,44.0,44.0,,43.0,,44.0
130,130,19-06-82 06:21,El Salvador   ,13.337,-89.313,72.8,7.3 Mw ,43.0,43.0,43.0,,,43.0
131,131,08-02-95 18:40,Colombia ,4.052,-76.589,74,6.3 Mw ,42.0,42.0,42.0,40.0,,42.0
132,132,09-07-79 10:57,China ,31.472,119.27,12.6,5.4 Mw ,41.0,41.0,42.0,,,42.0
133,133,29-11-98 14:10,Indonesia ,-1.939,124.818,16,7.7 Mw ,41.0,41.0,41.0,,,41.0
134,134,23-10-04 08:56,Japan   ,37.23,138.801,16,6.6 Mw ,40.0,40.0,,40.0,68.0,68.0
